ASV_name	Kingdom	Phylum	Class	Order	Family	Genus	Species
euk_asv7158	Eukaryota	Apicomplexa	Gregarinomorphea	Eugregarinorida	Eugregarinorida_EUG2	Eugregarinorida_EUG2 uc	Eugregarinorida_EUG2 uc_sp.
euk_asv7159	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Conticribra	Conticribra_weissflogii
euk_asv7160	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-1	Dino-II-1 uc	Dino-II-1 uc_sp.
euk_asv7161	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	Thoracosphaeraceae uc	Thoracosphaeraceae uc_sp.
euk_asv7162	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7164	Eukaryota	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales uc	Plagioselmis	Plagioselmis_prolonga
euk_asv7165	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
euk_asv7166	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-12	Dino-II-12 uc	Dino-II-12 uc_sp.
euk_asv7167	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7168	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Navicula	Navicula_lanceolata
euk_asv7169	Eukaryota	Centroheliozoa	Centroheliozoa uc	Pterocystida	Pterocystida uc	Pterocystida uc	Pterocystida uc
euk_asv7170	Eukaryota	Radiolaria	RAD-B	RAD-B uc	RAD-B-Group-I	RAD-B-Group-I uc	RAD-B-Group-I uc_sp.
euk_asv7171	Eukaryota	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales uc	Teleaulax	Teleaulax_gracilis
euk_asv7172	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_neogracilis
euk_asv7173	Eukaryota	Sagenista	MAST-8	MAST-8D	MAST-8D uc	MAST-8D uc	MAST-8D uc_sp.
euk_asv7174	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	Mantoniella_clade_B
euk_asv7175	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Naviculales	Naviculales_sp.
euk_asv7176	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-7	Dino-II-7 uc	Dino-II-7 uc_sp.
euk_asv7177	Eukaryota	Ciliophora	Nassophorea	Nassophorea uc	Discotrichidae	NASSO_1	NASSO_1_sp.
euk_asv7178	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-9	Dino-II-9 uc	Dino-II-9 uc_sp.
euk_asv7179	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III uc	Dino-Group-III uc	Dino-Group-III uc_sp.
euk_asv7180	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Odontella	Odontella uc
euk_asv7181	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-21	Dino-II-21 uc	Dino-II-21 uc_sp.
euk_asv7182	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7183	Eukaryota	Streptophyta	Embryophyceae	Embryophyceae uc	Embryophyceae uc	Allium	Allium_fistulosum
euk_asv7184	Eukaryota	Pseudofungi	Oomycota	Oomycota uc	Oomycota uc	Oomycota uc	Oomycota uc_sp.
euk_asv7185	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-5	Dino-I-5 uc	Dino-I-5 uc_sp.
euk_asv7186	Eukaryota	Hilomonadea	Planomonadida	Planomonadidae	Planomonadidae_Group-1	Fabomonas	Fabomonas_tropica
euk_asv7187	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-1	Dino-II-1 uc	Dino-II-1 uc_sp.
euk_asv7188	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-47	Dino-II-47 uc	Dino-II-47 uc_sp.
euk_asv7189	Eukaryota	Opalozoa	Bicoecea	Borokales	Borokaceae	Borokaceae uc	Borokaceae uc_sp.
euk_asv7190	Eukaryota	Stramenopiles uc	Stramenopiles uc	Stramenopiles uc	Stramenopiles uc	Stramenopiles ucX	Stramenopiles ucX_sp.
euk_asv7191	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax_sp.
euk_asv7192	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-9	Dino-II-9 uc	Dino-II-9 uc_sp.
euk_asv7193	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax_sp.
euk_asv7194	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
euk_asv7195	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
euk_asv7196	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7197	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv7198	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-42	Dino-II-42 uc	Dino-II-42 uc_sp.
euk_asv7199	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7200	Eukaryota	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-B	Dolichomastigaceae-B_sp.
euk_asv7201	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_H	Strombidiidae_H uc	Strombidiidae_H uc_sp.
euk_asv7203	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_cylindrus
euk_asv7204	Eukaryota	Streptophyta	Embryophyceae	Embryophyceae uc	Embryophyceae uc	Pinus	Pinus_taeda
euk_asv7205	Eukaryota	Radiolaria	Acantharea	Chaunacanthida	Chaunacanthida uc	Chaunacanthida uc	Chaunacanthida uc_sp.
euk_asv7206	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv7207	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc_sp.
euk_asv7208	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II uc	Dino-Group-II uc	Dino-Group-II uc_sp.
euk_asv7209	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_seriata
euk_asv7210	Eukaryota	Cercozoa	Filosa-Imbricatea	Marimonadida	Marimonadida uc	Marimonadida uc uc	Marimonadida uc uc
euk_asv7211	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
euk_asv7212	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_gelidus
euk_asv7213	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Melosira	Melosira_arctica
euk_asv7214	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Bacillaria	Bacillaria_paxillifer
euk_asv7215	Eukaryota	Telonemia	Telonemia uc	Telonemia uc	Telonemia-Group-1	Telonemia-Group-1 uc	Telonemia-Group-1 uc_sp.
euk_asv7216	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_sp.
euk_asv7217	Eukaryota	Ciliophora	Phyllopharyngea	Cyrtophoria_1	Cyrtophoria_1 uc	Cyrtophoria_1 uc	Cyrtophoria_1 uc
euk_asv7218	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7219	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II uc	Dino-Group-II uc	Dino-Group-II uc_sp.
euk_asv7220	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv7221	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv7222	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-5	Dino-I-5 uc	Dino-I-5 uc_sp.
euk_asv7223	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7224	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Tontoniidae_B	Tontoniidae_B uc	Tontoniidae_B uc_sp.
euk_asv7225	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Raphid-pennate uc	Raphid-pennate uc
euk_asv7226	Eukaryota	Ciliophora	Oligohymenophorea	Apostomatia	Apostomatia uc	Apostomatia uc	Apostomatia uc_sp.
euk_asv7228	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp.
euk_asv7229	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II uc	Dino-Group-II uc	Dino-Group-II uc
euk_asv7230	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp.
euk_asv7231	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv7232	Eukaryota	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae D	Stephanoecidae D uc	Stephanoecidae D uc_sp.
euk_asv7233	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7234	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Araphid-pennate	Asteroplanus	Asteroplanus_karianus
euk_asv7235	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv7236	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Tovelliaceae	Woloszynskia	Woloszynskia_halophila
euk_asv7237	Eukaryota	Radiolaria	Polycystinea	Nassellaria	Nassellaria uc	Nassellaria uc	Nassellaria uc_sp.
euk_asv7238	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-3	Dino-I-3 uc	Dino-I-3 uc_sp.
euk_asv7239	Eukaryota	Streptophyta	Embryophyceae	Embryophyceae uc	Embryophyceae uc	Pinus	Pinus_taeda
euk_asv7240	Eukaryota	Streptophyta	Embryophyceae	Embryophyceae uc	Embryophyceae uc	Pinus	Pinus_taeda
euk_asv7241	Eukaryota	Chlorophyta	Pyramimonadales	Pyramimonadales uc	Pyramimonadales uc	Pterosperma	Pterosperma_cristatum
euk_asv7242	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc_sp.
euk_asv7244	Eukaryota	Radiolaria	Polycystinea	Spumellarida	Spumellarida-Group-I	Spumellarida-Group-I uc	Spumellarida-Group-I uc_sp.
euk_asv7245	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella_glacialis
euk_asv7246	Eukaryota	Pseudofungi	MAST-1	MAST-1C	MAST-1C uc	MAST-1C uc	MAST-1C uc_sp.
euk_asv7247	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Eucampia	Eucampia_sp.
euk_asv7248	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
