ASV_name	Kingdom	Phylum	Class	Order	Family	Genus
prok_asv14947	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
prok_asv14948	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae uc
prok_asv14949	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
prok_asv14950	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia uc	Bacteroidia uc	Bacteroidia uc
prok_asv14951	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	koll11	koll11 uc
prok_asv14952	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagales uc	Chitinophagales uc
prok_asv14953	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
prok_asv14954	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	mle1-8 uc	mle1-8 uc
prok_asv14955	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc
prok_asv14956	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A	KI89A uc	KI89A uc
prok_asv14957	Bacteria	Patescibacteria	Gracilibacteria	Cand_Peregrinibacteria	Cand_Peregrinibacteria uc	Cand_Peregrinibacteria uc
prok_asv14958	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
prok_asv14959	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae uc
prok_asv14960	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Cand_Fritschea
prok_asv14961	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
prok_asv14962	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus
prok_asv14963	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia
prok_asv14965	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
prok_asv14966	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
prok_asv14967	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cognatiyoonia
prok_asv14968	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86 uc	SAR86 uc
prok_asv14969	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NAC11-7
prok_asv14971	Bacteria	Acidobacteriota	Subgroup_26	Subgroup_26 uc	Subgroup_26 uc	Subgroup_26 uc
prok_asv14972	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacteraceae uc
prok_asv14973	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
prok_asv14974	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales uc	Saccharimonadales uc
prok_asv14975	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Wilmottia_Ant-Ph58
prok_asv14976	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
prok_asv14977	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc
prok_asv14978	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales uc	Burkholderiales uc
prok_asv14979	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas
prok_asv14981	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae uc
prok_asv14983	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia uc	Cyanobacteriia uc	Cyanobacteriia uc
prok_asv14985	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
prok_asv14986	Bacteria	Planctomycetota	Planctomycetes	Planctomycetes uc	Planctomycetes uc	Planctomycetes uc
prok_asv14987	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Cand_Omnitrophus
prok_asv14988	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea
prok_asv14989	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrionaceae uc
prok_asv14991	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
prok_asv14992	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae uc
prok_asv14993	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Unknown_Family uc
prok_asv14994	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Cand_Berkiella
prok_asv14995	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Unknown_Family uc
prok_asv14996	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
prok_asv14997	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a uc	CCM11a uc
prok_asv14998	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41	P.palmC41 uc	P.palmC41 uc
prok_asv14999	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae uc
